Interest,Clothing
Astronomy,"Sweater, Sweatshirt, Hat"
Backpacking,"Jacket, Windbreaker, Hiking Boots, Backpack, Water Bottle"
Baseball,"Baseball Cap, Jersey, Cleats"
Basketball,"Basketball Shoes, Basketball Shorts, Headband, Tank Top"
Beach,"Swimsuit, Sunglasses, Sunhat, Beach Towel, Sandals"
Biking,"Padded Shorts, Cycling Jersey, Helmet, Sunglasses, Water Bottle"
Boxing,"Boxing Gloves, Hand Wraps, Boxing Shorts, Boxing Shoes"
Camping,"Tent, Sleeping Bag, Headlamp"
Cooking,"Apron, Chef's Hat, Oven Mitts"
Dancing,"Dance Shoes, Leotard"
Fishing,"Fishing Hat, Fishing Rod, Waders, Fishing Vest"
Fitness,"Athletic Leggings, Sports Bra, Tank Top, Running Shoes, Gym Bag"
Gardening,"Gardening Gloves, Sun Hat"
Golf,"Golf Shoes, Golf Glove, Golf Bag"
Hiking,"Hiking Boots, Trail Pants, Fleece Jacket, Backpack, Trekking Poles"
Horseback Riding,"Riding Boots, Riding Helmet, Riding Pants, Riding Gloves"
Kayaking,"Life Jacket, Dry Bag, Waterproof Phone Case"
Mountain Climbing,"Climbing Shoes, Climbing Helmet, Chalk Bag"
Music,"Band T-shirt, Leather Jacket, Jeans, Headphones"
Painting,"Smock, jeans"
Photography,"Camera, Lens, Tripod, Camera Bag, Memory Card"
Running,"Running Shoes, Moisture-Wicking Socks, Headband, Shorts, Water Bottle"
Skiing,"Ski Jacket, Ski Pants, Gloves, Goggles, Ski Helmet"
Snowboarding,"Snowboard Boots, Jacket, Pants, Snowboard helemt"
Soccer,"Soccer Cleats, Shin Guards, Soccer Socks, Soccer Shorts"
Surfing,Wetsuit
Swimming,"Swimsuit, Goggles, Swim Cap, Flip Flops, Beach Towel"
Tennis,"Tennis Shoes, Tennis Bag, Tennis Visor"
Volleyball,"Volleyball Shoes, Knee Pads, Shorts, Tank Top"
Yoga,"Yoga Pants, Yoga Mat, Tank Top, Yoga Blocks, Yoga Strap"
